State,Deaths
Maharashtra,15930618
Karnataka,3832006
Tamil Nadu,3827295
Delhi,3344735
West Bengal,2712221
Uttar Pradesh,2703716
Andhra Pradesh,2117572
Punjab,1758014
Gujarat,1575948
Chhattisgarh,1202925
Madhya Pradesh,1173298
Kerala,972171
Rajasthan,902332
Haryana,898807
Jammu and Kashmir,563287
Uttarakhand,523199
Bihar,502330
Odisha,493420
Jharkhand,421397
Telengana,400427
Assam,335961
Himachal Pradesh,272243
Goa,251525
Puducherry,199809
Telangana,113715
Tripura,105558
Chandigarh,96118
Manipur,91160
Meghalaya,43419
Sikkim,32996
Ladakh,32763
Nagaland,25680
Andaman and Nicobar Islands,18944
Arunachal Pradesh,14682
Mizoram,2711
Lakshadweep,837
Dadra and Nagar Haveli and Daman and Diu,758
Dadra and Nagar Haveli,8
Daman & Diu,0
Unassigned,0
Cases being reassigned to states,0
